Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
33,"Nov 16, 1986",1976,7-0,Robert Parish,C,1986-1987,1987,9,Boston Celtics,1,NA,230
22,"Nov 15, 2010",2008,6-3,Derrick Rose,PG,2010-2011,2011,2,Chicago Bulls,0.5,East,190
26,"Nov 15, 2010",2005,6-3,Deron Williams,PG,2010-2011,2011,5,Utah Jazz,0.5,West,200
20,"Nov 15, 1992",1992,7-1,Shaquille O'Neal,C,1992-1993,1993,0,Orlando Magic,1,NA,325
31,"Nov 15, 1987",1978,6-9,Larry Bird,SF,1987-1988,1988,8,Boston Celtics,1,NA,220
27,"Nov 14, 2016",2009,201cm,DeMar DeRozan,GF,2016-2017,2017,7,Toronto Raptors,0.5,East,100kg
27,"Nov 14, 2016",2009,196cm,James Harden,SG,2016-2017,2017,7,Houston Rockets,0.5,West,100kg
24,"Nov 14, 2005",2001,6-3,Gilbert Arenas,G,2005-2006,2006,4,Washington Wizards,0.5,East,191
31,"Nov 14, 2005",1996,6-11,Marcus Camby,C,2005-2006,2006,9,Denver Nuggets,0.5,West,240
20,"Nov 14, 2004",2003,6-8,LeBron James,F,2004-2005,2005,1,Cleveland Cavaliers,0.5,East,250
29,"Nov 14, 2004",1996,6-5,Ray Allen,SG,2004-2005,2005,8,Seattle SuperSonics,0.5,West,205
23,"Nov 14, 1999",1995,6-11,Kevin Garnett,PF,1999-2000,2000,4,Minnesota Timberwolves,1,NA,240
31,"Nov 14, 1993",1984,7-0,Hakeem Olajuwon,C,1993-1994,1994,9,Houston Rockets,1,NA,255
25,"Nov 13, 2017",2011,206cm,Tobias Harris,F,2017-2018,2018,6,Detroit Pistons,0.5,East,107kg
23,"Nov 13, 2017",2014,208cm,Nikola Jokic,C,2017-2018,2018,2,Denver Nuggets,0.5,West,113kg
28,"Nov 13, 1994",1989,6-0,Tim Hardaway,PG,1994-1995,1995,5,Golden State Warriors,1,NA,175
26,"Nov 13, 1988",1984,7-0,Hakeem Olajuwon,C,1988-1989,1989,4,Houston Rockets,1,NA,255
28,"Nov 12, 2012",2003,6-8,LeBron James,F,2012-2013,2013,9,Miami Heat,0.5,East,250
23,"Nov 12, 2012",2011,6-8,Kenneth Faried,F,2012-2013,2013,1,Denver Nuggets,0.5,West,228
25,"Nov 12, 2006",2001,6-7,Joe Johnson,SG,2006-2007,2007,5,Atlanta Hawks,0.5,East,240
26,"Nov 12, 2006",2002,7-6,Yao Ming,C,2006-2007,2007,4,Houston Rockets,0.5,West,310
24,"Nov 12, 2000",1996,6-2,Stephon Marbury,G,2000-2001,2001,4,New Jersey Nets,1,NA,180
24,"Nov 12, 1995",1993,6-7,Penny Hardaway,PG,1995-1996,1996,2,Orlando Magic,1,NA,195
28,"Nov 12, 1989",1984,6-5,Vern Fleming,G,1989-1990,1990,5,Indiana Pacers,1,NA,185
23,"Nov 11, 2013",2010,6-9,Paul George,GF,2013-2014,2014,3,Indiana Pacers,0.5,East,220
24,"Nov 11, 2013",2011,6-10,Markieff Morris,PF,2013-2014,2014,2,Phoenix Suns,0.5,West,245
31,"Nov 11, 2007",1995,6-11,Kevin Garnett,PF,2007-2008,2008,12,Boston Celtics,0.5,East,240
27,"Nov 11, 2007",2002,7-6,Yao Ming,C,2007-2008,2008,5,Houston Rockets,0.5,West,310
25,"Nov 11, 2001",1998,6-6,Vince Carter,SF,2001-2002,2002,3,Toronto Raptors,0.5,East,220
25,"Nov 11, 2001",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,0.5,West,250
27,"Nov 11, 1990",1985,6-7,Chris Mullin,SF,1990-1991,1991,5,Golden State Warriors,1,NA,215
31,"Nov 11, 1984",1976,6-7,Alex English,SF,1984-1985,1985,8,Denver Nuggets,1,NA,190
30,"Nov 10, 2014",2005,6-3,Deron Williams,PG,2014-2015,2015,9,Brooklyn Nets,0.5,East,200
26,"Nov 10, 2014",2009,6-3,Stephen Curry,G,2014-2015,2015,5,Golden State Warriors,0.5,West,190
24,"Nov 10, 2008",2003,6-8,LeBron James,F,2008-2009,2009,5,Cleveland Cavaliers,0.5,East,250
26,"Nov 10, 2008",2002,6-10,Amar'e Stoudemire,FC,2008-2009,2009,6,Phoenix Suns,0.5,West,245
28,"Nov 10, 2002",1995,6-6,Jerry Stackhouse,SF,2002-2003,2003,7,Washington Wizards,0.5,East,218
24,"Nov 10, 2002",1998,7-0,Dirk Nowitzki,PF,2002-2003,2003,4,Dallas Mavericks,0.5,West,245
34,"Nov 10, 1996",1984,7-0,Hakeem Olajuwon,C,1996-1997,1997,12,Houston Rockets,1,NA,255
28,"Nov 10, 1991",1985,6-7,Chris Mullin,SF,1991-1992,1992,6,Golden State Warriors,1,NA,215
25,"Nov 10, 1985",1981,6-8,Buck Williams,PF,1985-1986,1986,4,New Jersey Nets,1,NA,215
25,"Nov 1, 2010",2006,6-1,Rajon Rondo,PG,2010-2011,2011,4,Boston Celtics,0.5,East,186
30,"Nov 1, 2010",2001,7-0,Pau Gasol,FC,2010-2011,2011,9,Los Angeles Lakers,0.5,West,250
26,"May 2, 1999",1994,6-8,Grant Hill,SF,1998-1999,1999,4,Detroit Pistons,1,NA,225
32,"Mar 9, 2015",2003,6-1,Mo Williams,G,2014-2015,2015,11,Charlotte Hornets,0.5,East,198
26,"Mar 9, 2015",2008,6-3,Russell Westbrook,G,2014-2015,2015,6,Oklahoma City Thunder,0.5,West,200
27,"Mar 9, 2009",2003,6-4,Dwyane Wade,SG,2008-2009,2009,5,Miami Heat,0.5,East,220
24,"Mar 9, 2009",2005,6-3,Deron Williams,PG,2008-2009,2009,3,Utah Jazz,0.5,West,200
27,"Mar 9, 2008",2001,6-6,Jason Richardson,GF,2007-2008,2008,6,Charlotte Bobcats,0.5,East,225
28,"Mar 9, 2008",1997,6-8,Tracy McGrady,GF,2007-2008,2008,10,Houston Rockets,0.5,West,210
23,"Mar 9, 2003",1997,6-8,Tracy McGrady,GF,2002-2003,2003,5,Orlando Magic,0.5,East,210
30,"Mar 9, 2003",1992,7-1,Shaquille O'Neal,C,2002-2003,2003,10,Los Angeles Lakers,0.5,West,325
34,"Mar 9, 1997",1985,7-0,Patrick Ewing,C,1996-1997,1997,11,New York Knicks,1,NA,240
26,"Mar 9, 1986",1979,6-9,Magic Johnson,PG,1985-1986,1986,6,Los Angeles Lakers,1,NA,255
28,"Mar 8, 2010",2003,6-4,Dwyane Wade,SG,2009-2010,2010,6,Miami Heat,0.5,East,220
31,"Mar 8, 2010",1998,7-0,Dirk Nowitzki,PF,2009-2010,2010,11,Dallas Mavericks,0.5,West,245
34,"Mar 8, 1998",1985,6-9,Karl Malone,PF,1997-1998,1998,12,Utah Jazz,1,NA,265
28,"Mar 8, 1992",1985,6-9,Karl Malone,PF,1991-1992,1992,6,Utah Jazz,1,NA,265
27,"Mar 8, 1987",1979,6-9,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,1,NA,255
31,"Mar 7, 2016",2003,6-8,LeBron James,F,2015-2016,2016,12,Cleveland Cavaliers,0.5,East,250
24,"Mar 7, 2016",2011,6-7,Kawhi Leonard,F,2015-2016,2016,4,San Antonio Spurs,0.5,West,230
33,"Mar 7, 2011",1998,6-7,Paul Pierce,SF,2010-2011,2011,12,Boston Celtics,0.5,East,235
22,"Mar 7, 2011",2008,6-3,Russell Westbrook,G,2010-2011,2011,2,Oklahoma City Thunder,0.5,West,200
24,"Mar 7, 2004",1999,6-10,Lamar Odom,PF,2003-2004,2004,4,Miami Heat,0.5,East,230
23,"Mar 7, 2004",2002,7-6,Yao Ming,C,2003-2004,2004,1,Houston Rockets,0.5,West,310
22,"Mar 7, 1999",1997,6-11,Tim Duncan,FC,1998-1999,1999,1,San Antonio Spurs,1,NA,250
27,"Mar 7, 1993",1988,6-11,Rony Seikaly,C,1992-1993,1993,4,Miami Heat,1,NA,230
26,"Mar 6, 2017",2011,185cm,Kemba Walker,G,2016-2017,2017,5,Charlotte Hornets,0.5,East,83kg
25,"Mar 6, 2017",2011,201cm,Kawhi Leonard,F,2016-2017,2017,5,San Antonio Spurs,0.5,West,104kg
29,"Mar 6, 2005",1996,6-0,Allen Iverson,G,2004-2005,2005,8,Philadelphia Sixers,0.5,East,165
30,"Mar 6, 2005",1996,6-11,Marcus Camby,C,2004-2005,2005,8,Denver Nuggets,0.5,West,240
36,"Mar 6, 2000",1985,6-9,Karl Malone,PF,1999-2000,2000,14,Utah Jazz,1,NA,265
28,"Mar 6, 1994",1987,7-1,David Robinson,C,1993-1994,1994,4,San Antonio Spurs,1,NA,250
27,"Mar 6, 1988",1983,6-6,Bobby Hansen,SG,1987-1988,1988,4,Utah Jazz,1,NA,190
28,"Mar 5, 2018",2009,201cm,DeMar DeRozan,GF,2017-2018,2018,8,Toronto Raptors,0.5,East,100kg
24,"Mar 5, 2018",2012,208cm,Anthony Davis,PF,2017-2018,2018,5,New Orleans Pelicans,0.5,West,115kg
23,"Mar 5, 2012",2008,6-3,Derrick Rose,PG,2011-2012,2012,3,Chicago Bulls,0.5,East,190
24,"Mar 5, 2012",2009,5-11,Ty Lawson,PG,2011-2012,2012,2,Denver Nuggets,0.5,West,195
30,"Mar 5, 2006",1996,6-0,Allen Iverson,G,2005-2006,2006,9,Philadelphia Sixers,0.5,East,165
25,"Mar 5, 2006",2001,7-0,Pau Gasol,FC,2005-2006,2006,4,Memphis Grizzlies,0.5,West,250
22,"Mar 5, 1995",1992,7-1,Shaquille O'Neal,C,1994-1995,1995,2,Orlando Magic,1,NA,325
24,"Mar 5, 1989",1986,6-8,Chuck Person,SF,1988-1989,1989,2,Indiana Pacers,1,NA,220
27,"Mar 4, 2013",2005,6-3,Monta Ellis,G,2012-2013,2013,7,Milwaukee Bucks,0.5,East,185
25,"Mar 4, 2013",2009,5-11,Ty Lawson,PG,2012-2013,2013,3,Denver Nuggets,0.5,West,195
22,"Mar 4, 2007",2004,6-10,Al Jefferson,FC,2006-2007,2007,2,Boston Celtics,0.5,East,289
24,"Mar 4, 2007",2004,6-7,Kevin Martin,SG,2006-2007,2007,2,Sacramento Kings,0.5,West,199
24,"Mar 4, 2001",1998,6-6,Vince Carter,SF,2000-2001,2001,2,Toronto Raptors,1,NA,220
27,"Mar 4, 1990",1984,7-0,Hakeem Olajuwon,C,1989-1990,1990,5,Houston Rockets,1,NA,255
23,"Mar 31, 2014",2011,7-0,Nikola Vucevic,PF,2013-2014,2014,2,Orlando Magic,0.5,East,260
37,"Mar 31, 2014",1997,6-11,Tim Duncan,FC,2013-2014,2014,16,San Antonio Spurs,0.5,West,250
27,"Mar 31, 2002",1996,6-9,Ben Wallace,FC,2001-2002,2002,5,Detroit Pistons,0.5,East,240
23,"Mar 31, 2002",1999,6-7,Shawn Marion,F,2001-2002,2002,2,Phoenix Suns,0.5,West,228
31,"Mar 31, 1996",1985,7-3,Arvydas Sabonis,C,1995-1996,1996,0,Portland Trail Blazers,1,NA,279
28,"Mar 31, 1991",1983,6-7,Clyde Drexler,SG,1990-1991,1991,7,Portland Trail Blazers,1,NA,210
26,"Mar 30, 2015",2008,7-0,Brook Lopez,C,2014-2015,2015,6,Brooklyn Nets,0.5,East,268
26,"Mar 30, 2015",2009,6-3,Stephen Curry,G,2014-2015,2015,5,Golden State Warriors,0.5,West,190
23,"Mar 30, 2009",2004,6-11,Dwight Howard,C,2008-2009,2009,4,Orlando Magic,0.5,East,265
26,"Mar 30, 2009",2001,6-2,Tony Parker,G,2008-2009,2009,7,San Antonio Spurs,0.5,West,185
27,"Mar 30, 2008",2001,6-6,Jason Richardson,GF,2007-2008,2008,6,Charlotte Bobcats,0.5,East,225
23,"Mar 30, 2008",2003,6-8,Carmelo Anthony,F,2007-2008,2008,4,Denver Nuggets,0.5,West,240
22,"Mar 30, 2003",2001,6-7,Richard Jefferson,SF,2002-2003,2003,1,New Jersey Nets,0.5,East,233
26,"Mar 30, 2003",1997,6-11,Tim Duncan,FC,2002-2003,2003,5,San Antonio Spurs,0.5,West,250
30,"Mar 30, 1997",1987,6-1,Kevin Johnson,PG,1996-1997,1997,9,Phoenix Suns,1,NA,180
23,"Mar 30, 1986",1984,6-6,Charles Barkley,PF,1985-1986,1986,1,Philadelphia Sixers,1,NA,252
23,"Mar 3, 2014",2010,6-4,John Wall,PG,2013-2014,2014,3,Washington Wizards,0.5,East,210
24,"Mar 3, 2014",2009,6-5,James Harden,SG,2013-2014,2014,4,Houston Rockets,0.5,West,220
26,"Mar 3, 2002",1996,6-0,Allen Iverson,G,2001-2002,2002,5,Philadelphia Sixers,0.5,East,165
27,"Mar 3, 2002",1995,6-11,Rasheed Wallace,FC,2001-2002,2002,6,Portland Trail Blazers,0.5,West,230
23,"Mar 3, 1996",1992,7-1,Shaquille O'Neal,C,1995-1996,1996,3,Orlando Magic,1,NA,325
33,"Mar 3, 1996",1984,7-0,Hakeem Olajuwon,C,1995-1996,1996,11,Houston Rockets,1,NA,255
27,"Mar 3, 1991",1985,6-6,Gerald Wilkins,SG,1990-1991,1991,5,New York Knicks,1,NA,185
24,"Mar 3, 1985",1982,6-3,Sleepy Floyd,PG,1984-1985,1985,2,Golden State Warriors,1,NA,170
28,"Mar 29, 2010",2003,6-4,Dwyane Wade,SG,2009-2010,2010,6,Miami Heat,0.5,East,220
32,"Mar 29, 2010",1999,6-6,Manu Ginobili,SG,2009-2010,2010,7,San Antonio Spurs,0.5,West,205
24,"Mar 29, 2004",1999,6-7,Metta World Peace,SF,2003-2004,2004,4,Indiana Pacers,0.5,East,260
25,"Mar 29, 2004",1996,6-6,Kobe Bryant,SG,2003-2004,2004,7,Los Angeles Lakers,0.5,West,212
28,"Mar 29, 1998",1992,6-10,Alonzo Mourning,C,1997-1998,1998,5,Miami Heat,1,NA,240
26,"Mar 29, 1992",1987,6-1,Mark Jackson,PG,1991-1992,1992,4,New York Knicks,1,NA,180
29,"Mar 29, 1987",1980,6-8,Larry Smith,PF,1986-1987,1987,6,Golden State Warriors,1,NA,215
31,"Mar 28, 2016",2003,6-8,LeBron James,F,2015-2016,2016,12,Cleveland Cavaliers,0.5,East,250
26,"Mar 28, 2016",2011,6-7,Klay Thompson,G,2015-2016,2016,4,Golden State Warriors,0.5,West,215
25,"Mar 28, 2011",2004,6-11,Dwight Howard,C,2010-2011,2011,6,Orlando Magic,0.5,East,265
32,"Mar 28, 2011",1996,6-6,Kobe Bryant,SG,2010-2011,2011,14,Los Angeles Lakers,0.5,West,212
30,"Mar 28, 1999",1991,6-0,Darrell Armstrong,PG,1998-1999,1999,4,Orlando Magic,1,NA,170
26,"Mar 28, 1993",1991,7-2,Dikembe Mutombo,C,1992-1993,1993,1,Denver Nuggets,1,NA,260
27,"Mar 27, 2017",2009,201cm,DeMar DeRozan,GF,2016-2017,2017,7,Toronto Raptors,0.5,East,100kg
27,"Mar 27, 2017",2009,196cm,James Harden,SG,2016-2017,2017,7,Houston Rockets,0.5,West,100kg
29,"Mar 27, 2005",1996,6-0,Allen Iverson,G,2004-2005,2005,8,Philadelphia Sixers,0.5,East,165
29,"Mar 27, 2005",1996,6-5,Ray Allen,SG,2004-2005,2005,8,Seattle SuperSonics,0.5,West,205
23,"Mar 27, 2000",1995,6-11,Kevin Garnett,PF,1999-2000,2000,4,Minnesota Timberwolves,1,NA,240
31,"Mar 27, 1994",1984,7-0,Kevin Willis,C,1993-1994,1994,9,Atlanta Hawks,1,NA,245
25,"Mar 27, 1988",1984,6-6,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,1,NA,215
33,"Mar 26, 2018",2003,203cm,LeBron James,F,2017-2018,2018,14,Cleveland Cavaliers,0.5,East,113kg
32,"Mar 26, 2018",2006,211cm,LaMarcus Aldridge,FC,2017-2018,2018,11,San Antonio Spurs,0.5,West,118kg
30,"Mar 26, 2012",2001,6-7,Joe Johnson,SG,2011-2012,2012,10,Atlanta Hawks,0.5,East,240
23,"Mar 26, 2012",2007,6-9,Kevin Durant,SF,2011-2012,2012,4,Oklahoma City Thunder,0.5,West,240
21,"Mar 26, 2006",2003,6-8,LeBron James,F,2005-2006,2006,2,Cleveland Cavaliers,0.5,East,250
25,"Mar 26, 2006",2001,7-0,Pau Gasol,FC,2005-2006,2006,4,Memphis Grizzlies,0.5,West,250
27,"Mar 26, 1995",1989,7-1,Vlade Divac,C,1994-1995,1995,5,Los Angeles Lakers,1,NA,260
26,"Mar 26, 1989",1984,6-6,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,1,NA,215
28,"Mar 25, 2013",2003,6-8,LeBron James,F,2012-2013,2013,9,Miami Heat,0.5,East,250
23,"Mar 25, 2013",2009,6-5,James Harden,SG,2012-2013,2013,3,Houston Rockets,0.5,West,220
24,"Mar 25, 2007",2001,6-7,Gerald Wallace,F,2006-2007,2007,5,Charlotte Bobcats,0.5,East,220
28,"Mar 25, 2007",1996,6-6,Kobe Bryant,SG,2006-2007,2007,10,Los Angeles Lakers,0.5,West,212
23,"Mar 25, 2001",1998,6-7,Paul Pierce,SF,2000-2001,2001,2,Boston Celtics,1,NA,235
24,"Mar 25, 1990",1987,7-1,David Robinson,C,1989-1990,1990,0,San Antonio Spurs,1,NA,250
32,"Mar 24, 2014",2001,6-7,Joe Johnson,SG,2013-2014,2014,12,Brooklyn Nets,0.5,East,240
25,"Mar 24, 2014",2007,6-9,Kevin Durant,SF,2013-2014,2014,6,Oklahoma City Thunder,0.5,West,240
28,"Mar 24, 2002",1994,6-4,Jason Kidd,PG,2001-2002,2002,7,New Jersey Nets,0.5,East,210
25,"Mar 24, 2002",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,0.5,West,250
28,"Mar 24, 1996",1991,6-10,Chris Gatling,PF,1995-1996,1996,4,Miami Heat,1,NA,220
25,"Mar 24, 1991",1988,6-5,Mitch Richmond,SG,1990-1991,1991,2,Golden State Warriors,1,NA,215
37,"Mar 24, 1985",1969,7-2,Kareem Abdul-Jabbar,C,1984-1985,1985,15,Los Angeles Lakers,1,NA,225
33,"Mar 23, 2015",2003,6-4,Dwyane Wade,SG,2014-2015,2015,11,Miami Heat,0.5,East,220
29,"Mar 23, 2015",2005,6-0,Chris Paul,PG,2014-2015,2015,9,Los Angeles Clippers,0.5,West,175
29,"Mar 23, 2015",2005,6-0,Chris Paul,PG,2014-2015,2015,9,Los Angeles Clippers,0.5,West,175
24,"Mar 23, 2009",2003,6-8,LeBron James,F,2008-2009,2009,5,Cleveland Cavaliers,0.5,East,250
23,"Mar 23, 2009",2005,6-0,Chris Paul,PG,2008-2009,2009,3,New Orleans Hornets,0.5,West,175
23,"Mar 23, 2009",2005,6-0,Chris Paul,PG,2008-2009,2009,3,New Orleans Hornets,0.5,West,175
31,"Mar 23, 2008",1995,6-11,Kevin Garnett,PF,2007-2008,2008,12,Boston Celtics,0.5,East,240
22,"Mar 23, 2008",2005,6-0,Chris Paul,PG,2007-2008,2008,2,New Orleans Hornets,0.5,West,175
22,"Mar 23, 2008",2005,6-0,Chris Paul,PG,2007-2008,2008,2,New Orleans Hornets,0.5,West,175
28,"Mar 23, 2003",1996,6-9,Ben Wallace,FC,2002-2003,2003,6,Detroit Pistons,0.5,East,240
25,"Mar 23, 2003",1996,6-10,Peja Stojakovic,F,2002-2003,2003,4,Sacramento Kings,0.5,West,229
33,"Mar 23, 1997",1985,6-9,Karl Malone,PF,1996-1997,1997,11,Utah Jazz,1,NA,265
30,"Mar 23, 1986",1976,6-5,Adrian Dantley,SF,1985-1986,1986,9,Utah Jazz,1,NA,208
32,"Mar 22, 2010",1998,6-7,Paul Pierce,SF,2009-2010,2010,11,Boston Celtics,0.5,East,235
29,"Mar 22, 2010",2001,7-0,Pau Gasol,FC,2009-2010,2010,8,Los Angeles Lakers,0.5,West,250
25,"Mar 22, 1998",1992,7-1,Shaquille O'Neal,C,1997-1998,1998,5,Los Angeles Lakers,1,NA,325
22,"Mar 22, 1992",1991,6-6,Larry Johnson,F,1991-1992,1992,0,Charlotte Hornets,1,NA,250
27,"Mar 22, 1987",1979,6-9,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,1,NA,255
29,"Mar 21, 2016",2006,6-1,Kyle Lowry,PG,2015-2016,2016,9,Toronto Raptors,0.5,East,196
27,"Mar 21, 2016",2007,6-9,Kevin Durant,SF,2015-2016,2016,8,Oklahoma City Thunder,0.5,West,240
26,"Mar 21, 2011",2003,6-8,LeBron James,F,2010-2011,2011,7,Miami Heat,0.5,East,250
24,"Mar 21, 2011",2006,6-1,Kyle Lowry,PG,2010-2011,2011,4,Houston Rockets,0.5,West,196
27,"Mar 21, 2004",1998,6-6,Vince Carter,SF,2003-2004,2004,5,Toronto Raptors,0.5,East,220
31,"Mar 21, 2004",1992,7-1,Shaquille O'Neal,C,2003-2004,2004,11,Los Angeles Lakers,0.5,West,325
22,"Mar 21, 1999",1998,6-6,Vince Carter,SF,1998-1999,1999,0,Toronto Raptors,1,NA,220
30,"Mar 21, 1993",1985,7-0,Patrick Ewing,C,1992-1993,1993,7,New York Knicks,1,NA,240
27,"Mar 20, 2017",2010,213cm,Hassan Whiteside,C,2016-2017,2017,4,Miami Heat,0.5,East,120kg
26,"Mar 20, 2017",2012,191cm,Damian Lillard,G,2016-2017,2017,4,Portland Trail Blazers,0.5,West,88kg
28,"Mar 20, 2005",1997,6-3,Chauncey Billups,G,2004-2005,2005,7,Detroit Pistons,0.5,East,210
24,"Mar 20, 2005",2001,6-6,Jason Richardson,GF,2004-2005,2005,3,Golden State Warriors,0.5,West,225
27,"Mar 20, 2000",1994,6-8,Jalen Rose,G,1999-2000,2000,5,Indiana Pacers,1,NA,210
31,"Mar 20, 1994",1984,7-0,Hakeem Olajuwon,C,1993-1994,1994,9,Houston Rockets,1,NA,255
25,"Mar 20, 1988",1984,6-6,Charles Barkley,PF,1987-1988,1988,3,Philadelphia Sixers,1,NA,252
26,"Mar 2, 2015",2011,5-9,Isaiah Thomas,PG,2014-2015,2015,3,Boston Celtics,0.5,East,185
24,"Mar 2, 2015",2012,6-3,Damian Lillard,G,2014-2015,2015,2,Portland Trail Blazers,0.5,West,195
26,"Mar 2, 2009",2004,6-3,Devin Harris,G,2008-2009,2009,4,New Jersey Nets,0.5,East,185
28,"Mar 2, 2009",2003,6-9,David West,PF,2008-2009,2009,5,New Orleans Hornets,0.5,West,250
28,"Mar 2, 2009",2003,6-9,David West,PF,2008-2009,2009,5,New Orleans Hornets,0.5,West,250
31,"Mar 2, 2008",1999,6-3,Andre Miller,PG,2007-2008,2008,8,Philadelphia Sixers,0.5,East,200
29,"Mar 2, 2008",1996,6-6,Kobe Bryant,SG,2007-2008,2008,11,Los Angeles Lakers,0.5,West,212
40,"Mar 2, 2003",1984,6-6,Michael Jordan,SG,2002-2003,2003,14,Washington Wizards,0.5,East,215
27,"Mar 2, 2003",1996,6-5,Ray Allen,SG,2002-2003,2003,6,Seattle SuperSonics,0.5,West,205
30,"Mar 2, 1997",1990,6-9,Loy Vaught,PF,1996-1997,1997,6,Los Angeles Clippers,1,NA,230
30,"Mar 2, 1997",1990,6-9,Loy Vaught,PF,1996-1997,1997,6,Los Angeles Clippers,1,NA,230
23,"Mar 2, 1986",1984,6-6,Charles Barkley,PF,1985-1986,1986,1,Philadelphia Sixers,1,NA,252
33,"Mar 19, 2018",2003,203cm,LeBron James,F,2017-2018,2018,14,Cleveland Cavaliers,0.5,East,113kg
29,"Mar 19, 2018",2008,191cm,Russell Westbrook,G,2017-2018,2018,9,Oklahoma City Thunder,0.5,West,91kg
30,"Mar 19, 2012",2002,6-10,Drew Gooden,FC,2011-2012,2012,9,Milwaukee Bucks,0.5,East,250
24,"Mar 19, 2012",2005,7-0,Andrew Bynum,C,2011-2012,2012,6,Los Angeles Lakers,0.5,West,285
21,"Mar 19, 2006",2003,6-8,LeBron James,F,2005-2006,2006,2,Cleveland Cavaliers,0.5,East,250
21,"Mar 19, 2006",2003,6-8,Carmelo Anthony,F,2005-2006,2006,2,Denver Nuggets,0.5,West,240
21,"Mar 19, 1995",1994,6-4,Jason Kidd,PG,1994-1995,1995,0,Dallas Mavericks,1,NA,210
22,"Mar 19, 1989",1987,6-1,Kevin Johnson,PG,1988-1989,1989,1,Phoenix Suns,1,NA,180
22,"Mar 18, 2013",2010,6-4,John Wall,PG,2012-2013,2013,2,Washington Wizards,0.5,East,210
27,"Mar 18, 2013",2006,6-11,LaMarcus Aldridge,FC,2012-2013,2013,6,Portland Trail Blazers,0.5,West,260
33,"Mar 18, 2007",1994,6-4,Jason Kidd,PG,2006-2007,2007,12,New Jersey Nets,0.5,East,210
28,"Mar 18, 2007",1996,6-6,Kobe Bryant,SG,2006-2007,2007,10,Los Angeles Lakers,0.5,West,212
25,"Mar 18, 2001",1998,6-4,Cuttino Mobley,G,2000-2001,2001,2,Houston Rockets,1,NA,190
23,"Mar 18, 1990",1987,6-1,Kevin Johnson,PG,1989-1990,1990,2,Phoenix Suns,1,NA,180
29,"Mar 17, 2014",2004,6-10,Al Jefferson,FC,2013-2014,2014,9,Charlotte Bobcats,0.5,East,289
24,"Mar 17, 2014",2009,6-10,Blake Griffin,PF,2013-2014,2014,4,Los Angeles Clippers,0.5,West,251
24,"Mar 17, 2014",2009,6-10,Blake Griffin,PF,2013-2014,2014,4,Los Angeles Clippers,0.5,West,251
22,"Mar 17, 2002",1997,6-8,Tracy McGrady,GF,2001-2002,2002,4,Orlando Magic,0.5,East,210
25,"Mar 17, 2002",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,0.5,West,250
23,"Mar 17, 1996",1994,6-8,Grant Hill,SF,1995-1996,1996,1,Detroit Pistons,1,NA,225
25,"Mar 17, 1991",1987,6-3,Kenny Smith,PG,1990-1991,1991,3,Houston Rockets,1,NA,170
28,"Mar 17, 1985",1978,6-9,Larry Bird,SF,1984-1985,1985,5,Boston Celtics,1,NA,220
22,"Mar 16, 2015",2011,6-3,Kyrie Irving,G,2014-2015,2015,3,Cleveland Cavaliers,0.5,East,193
21,"Mar 16, 2015",2012,6-10,Anthony Davis,PF,2014-2015,2015,2,New Orleans Pelicans,0.5,West,253
24,"Mar 16, 2009",2003,6-8,LeBron James,F,2008-2009,2009,5,Cleveland Cavaliers,0.5,East,250
30,"Mar 16, 2009",1996,6-6,Kobe Bryant,SG,2008-2009,2009,12,Los Angeles Lakers,0.5,West,212
31,"Mar 16, 2008",1998,6-9,Antawn Jamison,F,2007-2008,2008,9,Washington Wizards,0.5,East,235
25,"Mar 16, 2008",2002,6-10,Amar'e Stoudemire,FC,2007-2008,2008,5,Phoenix Suns,0.5,West,245
27,"Mar 16, 2003",1996,6-0,Allen Iverson,G,2002-2003,2003,6,Philadelphia Sixers,0.5,East,165
26,"Mar 16, 2003",1999,6-3,Steve Francis,G,2002-2003,2003,3,Houston Rockets,0.5,West,195
33,"Mar 16, 1997",1985,6-9,Karl Malone,PF,1996-1997,1997,11,Utah Jazz,1,NA,265
29,"Mar 16, 1986",1978,6-9,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,1,NA,220
25,"Mar 15, 2010",2005,7-0,Andrew Bogut,C,2009-2010,2010,4,Milwaukee Bucks,0.5,East,260
25,"Mar 15, 2010",2006,6-6,Brandon Roy,G,2009-2010,2010,3,Portland Trail Blazers,0.5,West,211
24,"Mar 15, 1998",1994,6-4,Jason Kidd,PG,1997-1998,1998,3,Phoenix Suns,1,NA,210
28,"Mar 15, 1992",1985,6-3,Joe Dumars,SG,1991-1992,1992,6,Detroit Pistons,1,NA,190
23,"Mar 15, 1987",1985,6-9,Karl Malone,PF,1986-1987,1987,1,Utah Jazz,1,NA,265
