Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
28,"Apr 10, 2017",2008,191cm,Russell Westbrook,G,2016-2017,2017,8,Oklahoma City Thunder,0.5,West,91kg
28,"Apr 10, 2005",1998,6-6,Vince Carter,SF,2004-2005,2005,6,New Jersey Nets,0.5,East,220
25,"Apr 10, 2005",1999,6-3,Baron Davis,G,2004-2005,2005,5,Golden State Warriors,0.5,West,215
30,"Apr 10, 2000",1992,6-10,Alonzo Mourning,C,1999-2000,2000,7,Miami Heat,1,NA,240
27,"Apr 10, 1994",1991,7-2,Dikembe Mutombo,C,1993-1994,1994,2,Denver Nuggets,1,NA,260
24,"Apr 10, 1988",1986,6-7,Harold Pressley,GF,1987-1988,1988,1,Sacramento Kings,1,NA,210
27,"Apr 1, 2013",2004,6-6,J.R. Smith,SG,2012-2013,2013,8,New York Knicks,0.5,East,225
28,"Apr 1, 2013",2004,6-10,Al Jefferson,FC,2012-2013,2013,8,Utah Jazz,0.5,West,289
22,"Apr 1, 2007",2003,6-11,Chris Bosh,PF,2006-2007,2007,3,Toronto Raptors,0.5,East,235
26,"Apr 1, 2007",2002,7-6,Yao Ming,C,2006-2007,2007,4,Houston Rockets,0.5,West,310
27,"Apr 1, 2001",1994,6-4,Jason Kidd,PG,2000-2001,2001,6,Phoenix Suns,1,NA,210
27,"Apr 1, 1990",1984,6-6,Michael Jordan,SG,1989-1990,1990,5,Chicago Bulls,1,NA,215
28,"Apr 1, 1985",1979,6-6,Calvin Natt,F,1984-1985,1985,5,Denver Nuggets,1,NA,220
